date,Open,High,Low,Close,Volume
2016-01-04,169.4601559928339,169.9165744875018,167.85421136208558,169.9081268310547,222353500
2016-01-05,170.22931438900892,170.65192938292125,169.0882616437573,170.1955108642578,110845800
2016-01-06,167.64294053081133,169.0967373830813,167.01747849014774,168.0486602783203,152112600
2016-01-07,165.09878489652976,166.88222079288164,163.62807998718796,164.0168914794922,213436100
2016-01-08,164.9804741804424,165.53832917185426,161.92919283899013,162.21656799316406,209817200
2016-01-11,163.13788406435606,163.47598389884607,160.44161043099166,162.37718200683594,187941300
2016-01-12,163.82251103515432,164.4395254227884,161.55728756572674,163.68727111816406,172330500
2016-01-13,164.35503341887548,164.70158094597977,159.22449207445186,159.60484313964844,221168900
2016-01-14,160.21335217593364,163.34914831411587,158.61586796094596,162.22499084472656,240795600
2016-01-15,157.86364208133338,159.5456418613754,156.80710437138185,158.74267578125,324846400
2016-01-19,160.5598936850177,160.6866730239404,157.3818206860378,158.95394897460938,195244400
2016-01-20,156.39290793131943,158.48062709063498,153.00354022959485,156.9169464111328,286547800
2016-01-21,157.39029842299223,159.63860062752195,156.0632810105243,157.79600524902344,195772900
2016-01-22,160.40786515572725,161.2361875475884,159.64716276076027,161.03334045410156,168319600
2016-01-25,160.52610746192698,160.7205067839082,158.4045844426672,158.59898376464844,130371700
2016-01-26,159.2582327424634,161.041668532484,158.92014590624152,160.7627410888672,141036800
2016-01-27,160.23873422062803,161.91228631514613,158.1087506203031,159.01315307617188,185681700
2016-01-28,160.5599272369545,160.7627742216194,158.19328020408372,159.8414764404297,143798800
2016-01-29,160.61062728231084,163.873215985602,160.49229558414746,163.73797607421875,210529300
2016-02-01,162.73216408290494,164.4648885160024,162.14895320031806,163.67881774902344,136061600
2016-02-02,162.2503902851481,162.25883794392138,160.20492190938126,160.72897338867188,182564900
2016-02-03,161.78546543303634,162.09819638281365,158.14252646594213,161.69248962402344,205054900
2016-02-04,161.1938364326577,162.91810014463994,160.5599138640015,161.9460906982422,139531800
2016-02-05,161.43049912112437,162.00524939021113,158.22706986575446,158.86099243164062,180788300
2016-02-08,157.0183545304462,157.31417724280985,154.50802081723677,156.72251892089844,191526700
2016-02-09,154.98139838987723,158.00732382709526,154.84615847267247,156.73101806640625,184513100
2016-02-10,157.55938724544134,159.19067557444905,156.46903290883773,156.5958251953125,148214100
2016-02-11,154.11925359153506,155.60686682417594,153.0627159648016,154.55877685546875,219058900
2016-02-12,156.3337826725911,157.76221086969568,155.48855247688485,157.7453155517578,127632400
2016-02-16,159.55406772031768,160.43310122907792,158.5905060542674,160.40774536132812,120250700
2016-02-17,161.57415758059193,163.39985733676687,161.44736535194392,163.0279541015625,136009500
2016-02-18,163.29843531898203,163.35760761031935,162.04749851565145,162.3602294921875,102343000
2016-02-19,161.5826523475565,162.43633018840046,160.9740855847328,162.28419494628906,114793000
2016-02-22,163.86477905285352,164.77762924050367,163.79715908741392,164.63394165039062,103640300
2016-02-23,163.97465273403023,164.24513257867517,162.43632763628713,162.55467224121094,111455300
2016-02-24,161.12618197413295,163.57734355583707,160.0189328548697,163.2984161376953,150812200
2016-02-25,163.74642645005426,165.28475144889893,162.98572450597618,165.2762908935547,110728300
2016-02-26,166.14690025152532,166.23986318866883,164.7353545219734,164.8959503173828,129833700
2016-02-29,164.91286205285977,165.8595157337722,163.40835335404287,163.60275268554688,125918100
2016-03-01,164.82831369073514,167.5330602715892,164.35498690824195,167.4485321044922,141799700
2016-03-02,167.13582028123787,168.25151741126524,166.7216528504338,168.2008056640625,102415000
2016-03-03,168.02327923672547,168.87696985804945,167.4485289821829,168.8600616455078,95172200
2016-03-04,169.05447449579614,170.18709267747013,168.2261525755054,169.4094696044922,129293600
2016-03-07,168.48814026472485,169.9503974086945,168.41207266223464,169.544677734375,100219000
2016-03-08,168.47128767517106,168.97841805089885,167.53308164830707,167.69366455078125,123974900
2016-03-09,168.50506444392124,168.8685071772735,167.71899378547243,168.52197265625,94801200
2016-03-10,169.01220401027405,169.950409867992,166.83150896538407,168.65719604492188,156838700
2016-03-11,170.11098495754135,171.4210940354424,168.6402930134651,171.3788299560547,137964500
2016-03-14,170.87171300803712,171.61550669502927,170.54207379862802,171.15908813476562,73612000
2016-03-15,170.19550799686036,171.18442551829193,169.93348876859892,170.88014221191406,93169100
2016-03-16,170.39843290474928,172.2748451944404,170.3561688104932,171.86912536621094,129303200
2016-03-17,171.78455764242833,173.46655716459603,171.38729849261688,172.9594268798828,134278500
2016-03-18,173.46064914307334,173.97889914453387,173.14630524444627,173.63906860351562,138372400
2016-03-21,173.37575207632625,174.11489086366146,173.14635925953976,173.885498046875,72926700
2016-03-22,173.1123485254018,174.36124610349137,172.9509374130184,173.79202270507812,97471900
2016-03-23,173.40973655074222,173.59664730283123,172.47518279029714,172.64511108398438,81052500
2016-03-24,171.61706748784076,172.60259435302078,171.39617889959257,172.568603515625,84360900
2016-03-28,172.98495254878787,173.19734996545483,172.2203270342706,172.6706085205078,62408200
2016-03-29,172.26276003646242,174.37824252994776,171.95690730202728,174.26779174804688,92922900
2016-03-30,175.27032421900458,175.7545835143622,174.66710994321056,175.03244018554688,86365300
2016-03-31,174.93897488037737,175.3637696250937,174.44621142086157,174.60763549804688,94584100
2016-04-01,173.61360475833655,175.98395355789424,173.29924785472707,175.7970428466797,114423500
2016-04-04,175.72062303336168,175.9245292095298,174.9220067146725,175.2278594970703,63497000
2016-04-05,173.88546041373525,175.2363044443393,173.22278172084626,173.4776611328125,99662200
2016-04-06,173.47765747274903,175.43171563832263,173.29923799902537,175.3722381591797,91839800
2016-04-07,174.28475606093028,174.64158202679974,172.54309532746632,173.27374267578125,113859000
2016-04-08,174.4546797983895,174.88797867801816,173.20578237541002,173.74102783203125,95040600
2016-04-11,174.37824339944453,175.07491300612878,173.23979659036752,173.333251953125,83757500
2016-04-12,173.50314933463957,175.22781478977706,173.06135921418053,174.94744873046875,115350600
2016-04-13,175.8650101881761,176.79956373697718,175.72907276949485,176.714599609375,96336400
2016-04-14,176.7740697487607,177.2243510861963,176.37476170028683,176.72308349609375,65212900
2016-04-15,176.72308136993018,176.8590187813295,176.2048313322123,176.52767944335938,75761600
2016-04-18,176.52772095716665,177.80210532039408,175.86504212538503,177.76812744140625,82531000
2016-04-19,178.1929024397327,178.58370634137805,177.5132282620851,178.32882690429688,88316100
2016-04-20,178.3713025834669,179.19540538775044,177.89553456526323,178.49874877929688,81100300
2016-04-21,178.5157189044119,178.62616967376115,177.2668214610352,177.5386962890625,85695000
2016-04-22,177.18187030005564,177.8105581533845,176.63813360770632,177.5386962890625,99251700
2016-04-25,176.9354724059331,177.2753159223156,176.3237670401492,177.2328338623047,66166500
2016-04-26,177.59817766743848,178.0059899481992,177.0204630485873,177.49623107910156,75864200
2016-04-27,177.11388375120296,178.2523303105472,176.75705779814152,177.8615264892578,77329400
2016-04-28,177.10540802449896,178.20986384856798,175.83102395330687,176.247314453125,97216200
2016-04-29,175.62710041549644,175.97543513836212,174.19129243017042,175.29576110839844,142424100
2016-05-02,175.79704592408345,176.8675239549284,175.3637599752499,176.68911743164062,62188000
2016-05-03,175.45725048426755,175.6951345387806,174.4037546973465,175.15139770507812,106422100
2016-05-04,174.15734920959673,174.88799666851617,173.67307699165534,174.17433166503906,92243800
2016-05-05,174.64158970254306,174.9984156840955,173.71554039586846,174.1403350830078,67619200
2016-05-06,173.3672507919475,174.82005470435467,173.2143308873301,174.77757263183594,89315000
2016-05-09,174.65010467730497,175.35525249343715,174.4716851936592,174.92196655273438,74374900
2016-05-10,175.62713766324902,177.1139192474971,175.55916894946716,177.096923828125,77472200
2016-05-11,176.6382324415063,177.17346524264093,175.4403076171875,175.4403076171875,81727000
2016-05-12,176.1113923507691,176.2813206126645,174.48018215348213,175.49119567871094,89586300
2016-05-13,175.19387511574035,175.74610316393924,173.63912460988232,173.9619598388672,96474600
2016-05-16,174.13191506868455,176.1539297910658,174.07243756558287,175.67816162109375,77486800
2016-05-17,175.40627668104864,175.69513403731736,173.511682515837,174.03843688964844,114924900
2016-05-18,173.6901235592027,175.27036094901953,173.00195796365043,174.0894317626953,120062100
2016-05-19,173.36723352412886,173.77503285953244,172.27975998724793,173.48617553710938,115430500
2016-05-20,174.09794194220893,175.1004646570237,174.04696862791036,174.58221435546875,104990400
2016-05-23,174.59911999939837,174.87948606839956,174.1573428273716,174.34425354003906,58682600
2016-05-24,175.1598116062158,176.91846755108577,175.1343249661774,176.60411071777344,93537800
2016-05-25,177.28384338070174,178.21839703711953,176.60416917273494,177.80209350585938,76621400
2016-05-26,177.93803726052116,178.16743006864576,177.53872913529634,177.8530731201172,55280700
2016-05-27,178.0145072396567,178.62621278665296,177.96353393802508,178.6177215576172,64211200
2016-05-31,178.8896139764471,179.00006479127913,177.71717598426272,178.2779083251953,109879400
2016-06-01,177.66615276960985,178.82159501256743,177.47075081370213,178.6431884765625,69936200
2016-06-02,178.24387532557296,179.20390262173052,177.76810729142292,179.18692016601562,63044700
2016-06-03,178.62621622955234,179.00003773366728,177.44528718539402,178.65170288085938,101757100
2016-06-06,179.00847386468456,179.91754069385723,178.8470498136199,179.5607147216797,64887000
2016-06-07,179.71369223009214,180.4018577517311,179.6882055784543,179.84112548828125,60974800
2016-06-08,179.97704097875845,180.55476859404234,179.84960773611868,180.4273223876953,66170900
2016-06-09,179.69671214719506,180.29992653610302,179.4248501852817,180.1809844970703,73786900
2016-06-10,178.80462126420403,179.14445189656794,177.9295321066371,178.47328186035156,113829200
2016-06-13,177.8700533632236,178.72813406776956,177.01197265867765,177.096923828125,117751200
2016-06-14,176.71463357084795,177.34333453029458,175.7970752639697,176.7486114501953,125059300
2016-06-15,176.74861832704423,177.87008284476488,176.31533228903874,176.5022430419922,109124500
2016-06-16,176.5022198364116,177.1988894537725,174.66710339252674,177.02896118164062,149533100
2016-06-17,176.9247591709658,176.95037835738,175.71206989991128,176.36965942382812,117055700
2016-06-20,178.33391227724638,179.00857269505818,177.42011769051902,177.50552368164062,82789600
2016-06-21,177.88983883558544,178.41931953582304,177.4457511021882,178.0093994140625,72461700
2016-06-22,178.18870321431743,178.91461497918837,177.57381662154108,177.71900939941406,95560500
2016-06-23,179.17934803869173,180.08459408836288,178.7181896283184,180.03335571289062,102731400
2016-06-24,173.90162027493437,180.0675579096648,173.12447001464724,173.5685577392578,333444400
2016-06-27,172.1593818753128,172.16793029087916,169.64859754960628,170.4599151611328,230775800
2016-06-28,172.06546850005265,173.55998198159097,171.75802520546267,173.53436279296875,159382400
2016-06-29,174.93491196423045,176.71978470349455,174.8324352231808,176.4892120361328,137328600
2016-06-30,176.95890376909844,178.94872982124562,176.40379106300261,178.89749145507812,165021900
2016-07-01,178.89756514031532,179.7601214298107,178.7353015598706,179.27333068847656,106055300
2016-07-05,178.4449231161789,178.55594829759565,177.3859618083562,177.9837646484375,109803700
