date,Open,High,Low,Close,Volume
2016-01-04,92.28453112772019,93.05471307778289,91.46397292974257,92.98992919921875,1427244
2016-01-05,92.47166566716403,93.0474958803494,90.62899711218294,91.32719421386719,1465512
2016-01-06,89.8732321768126,90.03158551219863,88.42644961710238,89.1030502319336,1610690
2016-01-07,87.28916878915219,88.34006492146632,85.78480337122346,86.11590576171875,4264329
2016-01-08,86.59095257981639,87.015630288802,85.53286169812863,85.66962432861328,2785953
2016-01-11,87.18838297506136,87.27475749633587,85.39609681763245,86.00791931152344,2459275
2016-01-12,86.87168372335564,87.28916657631268,85.98634177693032,87.24597930908203,2574510
2016-01-13,87.76420032493442,88.06651110533225,85.2161404459394,85.33130645751953,1449513
2016-01-14,85.82798489443994,86.07990764127833,83.2367311591807,85.2089614868164,3459849
2016-01-15,83.25113179535167,85.03621741076383,82.67530155579563,84.8058853149414,2512676
2016-01-19,85.50408763324265,86.47580418961176,84.45319144593631,86.07991790771484,1939422
2016-01-20,84.6475048816605,85.37449329440143,82.51692180506149,84.61871337890625,1875643
2016-01-21,85.06500127559451,85.59765013569417,83.7693774166728,84.3380126953125,1307145
2016-01-22,85.72722712369809,86.87169279299258,84.88506642018547,85.63365173339844,1120132
2016-01-25,85.59046983166589,85.79921129303416,83.60384333421642,83.71900939941406,1198829
2016-01-26,84.42439961450702,86.07272267357258,83.81977189219198,85.2305679321289,1310929
2016-01-27,85.02180930850922,86.72771505006574,84.58993669155568,84.9858169555664,1639769
2016-01-28,85.46089685118062,86.69174291688294,84.98583095786631,85.66243743896484,1976717
2016-01-29,88.0233392885394,91.25520683268549,87.31794734389936,91.20481872558594,3542545
2016-02-01,90.29069279127253,94.78219214485213,89.9883819330415,94.4798812866211,3554652
2016-02-02,94.33591760833548,95.25725181473932,92.88194049583191,94.15596771240234,3983485
2016-02-03,95.58117396259385,96.37294056648513,94.17037795923513,96.00585174560547,3191004
2016-02-04,95.94104412531262,98.61147112387064,95.70351123474418,98.00684356689453,3494873
2016-02-05,98.00685615658152,98.54670586318205,97.14311087336553,97.60377502441406,2230860
2016-02-08,96.4593112081318,96.57447724786651,92.70199541621135,94.11278533935547,2774062
2016-02-09,93.05468365169696,96.06341390203507,92.72357538924332,95.34362030029297,1791649
2016-02-10,95.62434531389134,96.8119979902241,93.65931004671904,93.89684295654297,1500644
2016-02-11,92.5364519532835,93.57295236699917,90.77296286158283,91.56473541259766,2280694
2016-02-12,92.71638821503709,94.26394072922139,91.607909181539,93.82486724853516,1199586
2016-02-16,94.96933254513081,95.00531896089544,93.34979542589136,94.5446548461914,995277
2016-02-17,95.50919115192477,95.84748844566656,94.4870865518004,95.37962341308594,1281742
2016-02-18,95.29324113173047,95.7035231076505,93.99042236707926,94.41510009765625,1165102
2016-02-19,94.07677531590794,94.94052039720134,92.7667500698283,94.67420196533203,1260554
2016-02-22,95.63872672326484,96.3873058209636,95.21404907464331,95.67471313476562,968036
2016-02-23,95.04852111429535,95.45160821421219,93.98322924573414,94.44389343261719,1054624
2016-02-24,92.70201040045764,94.81819859542894,90.96731274196817,94.68863677978516,807723
2016-02-25,95.08452164507737,95.73233071356405,93.89686278159311,95.72513580322266,684489
2016-02-26,96.20737365891317,96.79040464951902,95.73950869742521,96.19297790527344,892798
2016-02-29,96.04181691164202,96.9991434072361,95.30762755959137,95.35081481933594,1984608
2016-03-01,96.29376035259587,97.33745559159965,94.94774831255059,96.73283386230469,1415570
2016-03-02,96.02741977826027,97.15749529659084,95.48037522629834,96.6104507446289,1008033
2016-03-03,96.81920869706313,97.85570902976731,96.45931480945544,97.08553314208984,1179263
2016-03-04,97.65416346999442,98.06443951273623,96.14979819196206,97.02074432373047,1332873
2016-03-07,96.94876073214368,97.8916855909036,96.29375095447176,97.1718978881836,970198
2016-03-08,96.39451444900959,97.23666897012141,94.96932896152914,96.6104507446289,15012928
2016-03-09,97.25107051490764,97.53179068412742,96.22896605171225,96.94155883789062,10709251
2016-03-10,97.51020576455095,97.95648012525488,95.74671679615473,96.88398742675781,4562036
2016-03-11,97.87728155606014,99.17291118412784,97.17188966707336,98.22998046875,1387464
2016-03-14,97.87732481484296,98.37398147540452,97.35907748368076,98.07167053222656,2841733
2016-03-15,97.22228759460404,97.51740354378957,96.18578728595757,96.48809814453125,1850780
2016-03-16,95.94105459350729,98.21559566809233,95.84747922143907,97.93487548828125,1680415
2016-03-17,98.68346219690451,101.77856725940336,98.03565323690776,101.46186065673828,2432250
2016-03-18,101.56262408874515,102.74308783356673,100.99398881633668,101.91532897949219,3136305
2016-03-21,101.67780501089707,102.10967765980509,100.57652085159093,101.26751708984375,2057467
2016-03-22,100.77086990830087,103.57085324768595,100.5837191510723,102.98062133789062,2962697
2016-03-23,102.5415262941708,103.59961700439453,101.87211494054434,103.59961700439453,2711905
2016-03-24,103.67884034378302,103.90917246642516,101.72100542853504,102.03771209716797,1255257
2016-03-28,102.46956586817865,103.39090606107044,102.1816507681461,103.02381134033203,1863104
2016-03-29,102.39039500686184,105.06801722853336,101.87213596977438,104.39141082763672,2144920
